dealer_id,region,month,service_revenue,parts_revenue,repair_orders,csi_score,retention_rate,avg_turnaround_days,warranty_claims
D001,South,2023-01-01,226867,30860,1794,88.23844269050346,0.4780093202212183,1.8899863008405067,20
D001,South,2023-02-01,167498,74131,1371,92.61514928204012,0.7540362888980228,1.5514612357395061,11
D001,South,2023-03-01,139735,92955,1937,82.09560932988242,0.49170225492671693,2.260605607398844,31
D001,South,2023-04-01,283004,55658,1010,82.37415096410926,0.46974693032602094,2.2303616213380453,25
D001,South,2023-05-01,270222,95725,1457,81.85262519537875,0.6571172192068058,2.981036422155106,12
D001,South,2023-06-01,149092,33890,1146,87.98860233456304,0.4852620618436458,1.6626289824631988,13
D001,South,2023-07-01,88792,103969,1276,88.89596317257502,0.7049983288913104,3.582987279340411,44
D001,South,2023-08-01,160077,65920,2455,79.49451121825084,0.4911180438940312,3.388403525794131,15
D001,South,2023-09-01,158953,82995,2345,74.10832876588145,0.8633294328968971,3.3181799896410524,24
D001,South,2023-10-01,120397,31016,2225,79.78051795882583,0.5626651653816321,2.471693224223705,27
D001,South,2023-11-01,162798,39268,1291,78.26660951319327,0.6713480415791242,1.8523105624369065,24
D001,South,2023-12-01,272300,78984,2362,80.59704366976447,0.6117007403531849,2.4872037954389246,17
D001,South,2024-01-01,204375,78190,1662,88.18152554172585,0.7950877702656028,3.0148999369525287,48
D001,South,2024-02-01,144505,82251,634,80.46639665710035,0.8250192888948997,2.6236266853455086,42
D001,South,2024-03-01,169135,65222,2097,90.8985817235035,0.7187787356776065,3.7180318564408164,10
D001,South,2024-04-01,193252,38110,1985,80.5089603027216,0.824456912133042,3.304323802912183,23
D001,South,2024-05-01,170982,30206,1538,84.24733070870109,0.5008596011676981,3.7394089891837985,41
D001,South,2024-06-01,167939,48141,984,80.17221164052512,0.5246461145744374,2.525957307589074,38
D001,South,2024-07-01,244899,85820,1683,93.11460249670687,0.8402339195076289,3.060885120334483,15
D001,South,2024-08-01,175259,99163,1863,89.11866538487571,0.8462794992449889,2.848355604789127,37
D001,South,2024-09-01,233048,74262,689,83.71684908653722,0.6135538943131282,3.5450369148062326,12
D001,South,2024-10-01,269125,51959,1934,83.1608713793362,0.6087055015743895,2.0552695261768257,33
D001,South,2024-11-01,245838,103530,1897,86.50661400474817,0.6019180855290205,1.662230617772454,21
D001,South,2024-12-01,132733,95318,1909,77.7074153950662,0.7561352949622211,1.8702173248834997,26
D002,South,2023-01-01,106736,30854,2259,84.03819517609439,0.47244743604561157,2.7236319006939076,41
D002,South,2023-02-01,237381,117455,746,86.50773671166806,0.7360677737029393,3.404049038321794,26
D002,South,2023-03-01,105342,67157,779,86.7807991519469,0.5994122212222766,3.54107968304846,25
D002,South,2023-04-01,236256,72107,686,84.89059562830617,0.49325925519992714,1.6019378538869098,29
D002,South,2023-05-01,213883,86250,2455,85.04572172870068,0.513247887598969,3.1129319760236247,42
